,date,title,content,sentiment score
48,11/25/2016,"Wall Street Finishes at Record Highs Consumer Staples, Techs Gain",,0.0
49,,,,0.0
50,11/25/2016,Minister at Center of Brazil's Latest Scandal Quits,,0.0
51,,,,0.0
52,11/25/2016,Monte Dei Paschi Cash Call Concerns Persist Despite Approval,,0.0
53,,,,0.0
54,11/25/2016,Fastjet Chairman Resigns as African Carrier Seeks More Funds,,0.0
55,,,,0.0
56,11/25/2016,Wall Street Ends at Record Highs; Dollar Loses Steam,,0.0
57,,,,0.0
58,11/25/2016,"Japan Eyes Only Modest Spending Rise, Diverging From Trump's Promise of Stimulus",,0.0
59,,,,0.0
60,11/24/2016,Factbox-The Cost of Brexit: Britain's 60 Billion Pound Question,,0.0
61,,,,0.0
62,11/24/2016,Black Friday Shopping: Tales From the Front Lines,,0.0
63,,,,0.0
64,11/24/2016,From Books to Banks: Investors Place Bets Against Italy Meltdown,,0.0
65,,,,0.0
66,11/24/2016,Asian Markets Mostly Gain in Quiet Trading During US Holiday,,0.0
67,,,,0.0
68,11/24/2016,FTSE Steadies as Major Firms Trade Ex-Dividends,,0.0
69,,,,0.0
70,11/24/2016,In the Chamber of Secrets: J.K. Rowlings Net Worth,,0.0
71,,,,0.0
72,11/24/2016,Carving Donald Trump,,0.0
73,,,,0.0
74,11/24/2016,Trump's Mexican Wall a Boon for Israeli Security Company,,0.0
75,,,,0.0
76,11/24/2016,Sudden Currency Move Spoils Business at Indian Food Market,,0.0
77,,,,0.0
78,11/24/2016,Want to Solve Global Crises? $5 Million Prize Seeks Fresh Ideas,,0.0
79,,,,0.0
80,11/23/2016,"Alzheimer's Setback Prompts Rethink of Lilly, Biogen Stock Outlooks",,0.0
81,,,,0.0
82,11/23/2016,Deutsche Boerse CFO Warns of U.S. Dominance if LSE Deal Fails,,0.0
83,,,,0.0
84,11/23/2016,Snap Moving to I.P.O. Faster Than Its Peers,,0.0
85,,,,0.0
86,11/23/2016,"Condemning Fake News, but Running Fake-News Ads",,0.0
87,,,,0.0
88,11/23/2016,From Books to Banks: Investors Place Bets Against Italy Meltdown,,0.0
89,,,,0.0
90,11/23/2016,December's Arrival Means Tax Season for Many Fund Investors,,0.0
91,,,,0.0
92,11/23/2016,Wall St. Closes Mostly Higher,,0.0
93,,,,0.0
94,11/23/2016,"Markets Right Now: Dow, S&P 500 Set Records; Nasdaq Slips",,0.0
95,,,,0.0
96,11/23/2016,"Dow, S&P 500 Set Record High Closes Ahead of Holiday",,0.0
97,,,,0.0
98,11/23/2016,Infineon Lifts Profitability Target on Car Sector Hopes,,0.0
99,,,,0.0
100,11/23/2016,Higher Margins Help UK Lender Paragon's Profit Beat Expectations,,0.0
101,,,,0.0
102,11/23/2016,United Utilities First-Half Underlying Profit Rises Marginally,,0.0
103,,,,0.0
104,11/23/2016,Vivendi Holds 23.15 Percent of Telecom Italia After Buying More Shares,,0.0
105,,,,0.0
106,11/23/2016,Trump's Illegal Immigration Stance May Boost Private Prisons,,0.0
107,,,,0.0
108,11/23/2016,"Asia Stocks Slip on Spectre of Higher U.S. Rates, Dollar 'a Freight Train'",,0.0
109,,,,0.0
110,11/22/2016,Freeing Fannie Mae and Freddie Mac,,0.0
111,,,,0.0
112,11/22/2016,Money Markets: Traders See U.S. Rate Hike as a Sure Thing in December,,0.0
113,,,,0.0
114,11/22/2016,EU Proposes U.S.-Style Rules to Give Failing Firms Second Chance,,0.0
115,,,,0.0
116,11/22/2016,"Hammond to Raise UK Borrowing Target by 10 Billion Pounds, Funded by T-Bills-Poll",,0.0
117,,,,0.0
118,11/22/2016,U.S. Existing Home Sales Race to More Than 9-1/2-Year High,,0.0
119,,,,0.0
120,11/22/2016,What Will Trump Trade Policy Actually Look Like? Three Possibilities,,0.0
121,,,,0.0
122,11/22/2016,Famed Plaza District Fades as Manhattan Office Landscape Shifts,,0.0
123,,,,0.0
124,11/22/2016,Dollar Tree's Profit Beats as Family Dollar Purchase Pays Off,,0.0
125,,,,0.0
126,11/22/2016,"FTSE Rises, Helped by Mining Stocks Rally",,0.0
127,,,,0.0
128,11/22/2016,UK Engineers Back Forecasts Thanks to Weak Sterling,,0.0
129,,,,0.0
130,11/22/2016,"Volkswagen Reboots Americas Strategy, Drops Diesel in U.S.",,0.0
131,,,,0.0
132,11/22/2016,"Investors Make Bullish Bet on Trump, and an Era of Tax Cuts and Spending","Major markets around world reach record highs as investors appear to bet heavily on Pres-elect Donald Trump's promises of robust economic growth through tax and fewer regulations; optimism stands in stark contrast to Wall Street predictions of market mayhem in event of Trump victory, but rush of money has increased value of dollar, which could mean trouble in emerging markets.",0.0
133,,,,0.0
134,11/22/2016,"Small Banks Cheer Trump. So, After a Pause, Do Big Ones.","Donald J Trump's promises to deregulate financial industry has sent sector's stocks soaring, surprising analysts and other finance experts who are still attempting to figure out president-elect's plans; small community banks say they are in best position since they believe Trump can loosen rules for them while still being tough on large institutions that created 2008 financial crisis.",0.0
135,,,,0.0
136,11/22/2016,"Dollar Retreats From 13 1/2-Year High, Pauses After Rally",,0.0
137,,,,0.0
138,11/21/2016,Business Highlights,,0.0
139,,,,0.0
140,11/21/2016,Four Womens Things T Editors Are Really Into Right Now,,0.0
141,,,,0.0
142,11/21/2016,Kickback Case Questions Whether Valeant Was Victim or Participant,,0.0
143,,,,0.0
144,11/21/2016,US Stock Indexes Bust Records as Oil Prices Jump,,0.0
145,,,,0.0
146,11/21/2016,"Wall St. Closes Higher, Fueled by Oil Prices",,0.0
147,,,,0.0
148,11/21/2016,Hedge Funds Slow to Adjust Champagne Tastes to Beer Budgets,,0.0
149,,,,0.0
150,11/21/2016,LSE Group to Buy Data Firm Mergent,,0.0
151,,,,0.0
152,11/21/2016,Major Indexes Hit Records as Post-Election Rally Goes On,,0.0
153,,,,0.0
154,11/21/2016,Chemring Says Order Book Value Boosted by Weak Sterling,,0.0
155,,,,0.0
156,11/21/2016,U.S. Fears Over Sensitive Compound Hits Chinese Bid for Aixtron,,0.0
157,,,,0.0
158,11/21/2016,"Asian Shares Gain, Lifted by Oil Price Rally on Wall Street",,0.0
159,,,,0.0
160,11/20/2016,Credit Suisse Moves Towards Swiss Bank Spin-Off,,0.0
161,,,,0.0
162,11/20/2016,Hong Kong Firms in China Charm-Push Ahead of Hong Kong-Shenzhen Investment Link,,0.0
163,,,,0.0
164,11/19/2016,"Its Not Just the White House. Change Is in the Air on Wall St., Too",,0.0
165,,,,0.0
166,11/19/2016,A Bleak Outlook for Trumps Promises to Coal Miners,,0.0
167,,,,0.0
168,11/19/2016,Trump Adviser Takes Stake in China Ride-Sharing Company,,0.0
169,,,,0.0
170,11/18/2016,Should Trump Undo Investor Protections? Meet the Brokers of Madison County,,0.0
171,,,,0.0
172,11/18/2016,Elon Musk Faces Epic Juggling Act After Tesla-SolarCity Deal,,0.0
173,,,,0.0
174,11/18/2016,Markets Sent a Strong Signal on Trump ... Then Changed Their Minds,,0.0
175,,,,0.0
176,11/18/2016,"After Initial Trump Trade, Politics Keep Stocks on Edge",,0.0
177,,,,0.0
178,11/18/2016,The Kind of Car Insurer That Gives Consumers the Best Value,,0.0
179,,,,0.0
180,11/18/2016,No-Haggle Car Pricing: What Buyers Should Know,,0.0
181,,,,0.0
182,11/18/2016,"Mexico's Market Carnage Spawns Buying Opportunities, Investors Say",,0.0
183,,,,0.0
184,11/18/2016,Drugmaker Losses Pull Stocks Lower; Small-Cap Surge Goes On,,0.0
185,,,,0.0
186,11/18/2016,"Wall St. Closes Lower, Hurt by Health Care and Retail",,0.0
187,,,,0.0
188,11/18/2016,Why Surging Stocks May Not Mean the Economy Trusts Trump,,0.0
189,,,,0.0
190,11/18/2016,Deutsche Bank Looking to Cut Back U.S. Mortgage Securitization: Sources,,0.0
191,,,,0.0
192,11/18/2016,What Will a Trump Presidency Mean for New York Real Estate?,,0.0
193,,,,0.0
194,11/18/2016,LafargeHolcim's Higher Payout Fails to Cheer Investors,,0.0
195,,,,0.0
196,11/18/2016,UK Housebuilders Find Lenders More Cautious After Brexit Vote-Survey,,0.0
197,,,,0.0
198,11/18/2016,Fed Rate Hike Predictions Support Dollar but Weigh on Stocks,,0.0
199,,,,0.0
200,11/18/2016,Snap's Youthful Founders Show No Fear in Race to IPO,,0.0
201,,,,0.0
202,11/18/2016,"Udacity, an Online Learning Start-Up, Offers Tech Job Trials","Online learning site Udacity introduces Blitz, job trial program which pairs graduates of its rigorous nanodegree technology courses with companies seeking software developers, programmers, data analysts and like; three-month contract assignments give both companies and potential employees opportunity to 'test-drive' their relationship before making costly commitments.",0.0
203,,,,0.0
204,11/17/2016,"Tesla's Musk Closes SolarCity Deal, More Challenges Lie Ahead",,0.0
205,,,,0.0
206,11/17/2016,Tesco Tells Big Suppliers-Don't Raise Prices to Prop Up Results,,0.0
207,,,,0.0
208,11/17/2016,"Ex-Valeant, Philidor Execs Arrested for Fraud, Conspiracy",,0.0
209,,,,0.0
210,11/17/2016,DIVIDED AMERICA: Easy Retirement? Only for a Privileged Few,,0.0
211,,,,0.0
212,11/17/2016,"Under New CEO, Henkel Looks to Develop Online Business",,0.0
213,,,,0.0
214,11/17/2016,Frexit Would Be Financial 'Catastrophe'-Columbia Threadneedle,,0.0
215,,,,0.0
216,11/17/2016,"Asian Shares Mixed, Nikkei Up as Yellen Remarks Lift Dollar",,0.0
217,,,,0.0
218,11/17/2016,Trump-Size Idea for a New President: Build Something Inspiring,James B Stewart Common Sense column notes dismal state of America's infrastructure and tasks Pres-elect Donald J Trump to rebuild country in similar way former Pres Franklin D Roosevelt did during Depression Era following New Deal Agenda; author Dan McNichol suggest top 10 infrastructure projects Trump should tackle along with estimated cost. ,0.0
219,,,,0.0
220,11/17/2016,Wall St. Closes Higher as Banks Rise on Trump Hopes,Stocks rise following announcement of Federal Reserve plans to raise interest rates.,0.0
221,,,,0.0
222,11/17/2016,Markets Right Now: Gains in Bank Stocks Lead Market Higher,,0.0
223,,,,0.0
224,11/17/2016,"U.S. Inflation, Labor Market Data Bolster Fed December Rate Hike",,0.0
225,,,,0.0
226,11/17/2016,"Best Buy Same-Store Sales Beat Estimates, Shares Hit 3-Year High",,0.0
227,,,,0.0
228,11/17/2016,Confidence Rebounds for Wealthy Investors After U.S. Election: Study,,0.0
229,,,,0.0
230,11/17/2016,"Tesla, SolarCity Get Shareholder Approval for Merger",,0.0
231,,,,0.0
232,11/17/2016,Great Portland Becomes Second Firm to Cut Forecast Due to Brexit,,0.0
233,,,,0.0
234,11/17/2016,Premier Oil Agrees New Lending Terms in Exchange for Say in Projects,,0.0
235,,,,0.0
236,11/17/2016,Foreign Banks Shaken by Malaysia's Move to Halt Currency Slide,,0.0
237,,,,0.0
238,11/17/2016,Markets Await Testimony From Yellen; Dollar Likely in Focus,,0.0
239,,,,0.0
240,11/17/2016,"Goldman Sachs, Bank to the Elite, Makes Pitch to the Masses",,0.0
241,,,,0.0
242,11/17/2016,"Howard Ruff, Quirky Conservative Economist and Author, Dies at 85","Howard Ruff, economist and best-selling author known for dire financial forecasts that encouraged conservative investments and extreme survivalist strategies, dies at age 85.",0.0
243,,,,0.0
244,11/17/2016,"Dwayne O. Andreas, Who Turned Archer Daniels Midland Into Food Giant, Dies at 98","Dwayne O Andreas, Archer Daniels Midland Company executive whose business leadership and vast political connections elevated his company to forefront of America's farm products industry, dies at age 98.",0.0
245,,,,0.0
246,11/16/2016,Inside College Basketballs Most Political Locker Room,"Interview with Wisconsin men's basketball players Nigel Hayes, Jordan Hill and Bronson Koenig, who share desire to make their voices heard on political and social issues.",0.0
247,,,,0.0
248,11/16/2016,U.S. State Securities Regulators Gird for Action During Trump Era,,0.0
249,,,,0.0
250,11/16/2016,"Santander Buys Back Asset Management, Eyes Sale of Allfunds",,0.0
251,,,,0.0
252,11/16/2016,Drug Prices Don't Budge Even After Pressure From Congress,,0.0
253,,,,0.0
254,11/16/2016,Think-Tank Casts Doubt on EU Plans for Reviving Securitised Debt Market,,0.0
255,,,,0.0
256,11/16/2016,Facebook Aims for More Transparency With Video Ad Data,,0.0
257,,,,0.0
258,11/16/2016,South Africa's Life Healthcare to Buy Controlling Stake in Britain's Alliance Medical,,0.0
259,,,,0.0
260,11/16/2016,"Janus' Gross Says Trump Will Be One-Termer, in Failure for Populism",,0.0
261,,,,0.0
262,11/16/2016,"Never Mind Trump or Brexit, Go Out and Bargain-Hunt, Kleinwort Benson Says",,0.0
263,,,,0.0
264,11/16/2016,Deutsche Bank to Close Its Brokerage Unit in Poland: Sources,,0.0
265,,,,0.0
266,11/16/2016,Lowe's Results Miss Street Expectation; Cuts Annual Outlook,,0.0
267,,,,0.0
268,11/16/2016,"Morning Agenda: Snap Listing, Ackmans Fortune, Ex-Goldman Executive Joins Evercore",,0.0
269,,,,0.0
270,11/16/2016,"FTSE Ends Lower, Rolls-Royce and Barratt Weigh",,0.0
271,,,,0.0
272,11/16/2016,"Glen Ridge, N.J.: Neighborly and Close to Midtown",,0.0
273,,,,0.0
274,11/16/2016,BOJ Takes Heart From Markets' Reaction After Trump Win,,0.0
275,,,,0.0
276,11/16/2016,ICAP's H1 Trading Profit Falls Amid Fragile Market Conditions,,0.0
277,,,,0.0
278,11/16/2016,A Post-Trump SEC Could Shake Up Current Policy,,0.0
279,,,,0.0
280,11/16/2016,"Oil Prices Fall on U.S. Crude Stock Build, OPEC Remains in Focus",,0.0
281,,,,0.0
282,11/16/2016,"Asia Drives Prudential's New Business Profit, Raises Dividend",,0.0
283,,,,0.0
284,11/16/2016,"William Ackmans 2016 Fortune: Down, but Far From Out",,0.0
285,,,,0.0
286,11/15/2016,Snapchats Parent Files for a Stock Offering,,0.0
287,,,,0.0
288,11/15/2016,SEC Approves 'Hubble Telescope' for Securities Markets,,0.0
289,,,,0.0
290,11/15/2016,Snapchat Files for One of the Biggest Tech IPOs in Years: Sources,,0.0
291,,,,0.0
292,11/15/2016,"Exclusive: EU Regulators Seen Clearing $25 Billion Abbott, St Jude Deal: Source",,0.0
293,,,,0.0
294,11/15/2016,Rising Oil Prices Lead to Market Gains,,0.0
295,,,,0.0
296,11/15/2016,"Markets Right Now: Energy, Tech Gains Drive Stocks Higher",,0.0
297,,,,0.0
298,11/15/2016,Nasdaq Names a New C.E.O.,,0.0
299,,,,0.0
300,11/15/2016,Hard or Soft Trump? Ex-WTO Head Lamy Sees Trade Realities Trumping Rhetoric,,0.0
301,,,,0.0
302,11/15/2016,Dollar Rise a Threat to Global Financial Stability: BIS,,0.0
303,,,,0.0
304,11/15/2016,AAA Predicting Biggest Thanksgiving Travel Rush in 9 Years,,0.0
305,,,,0.0
306,11/15/2016,Home Depot Raises Outlook as Americans Spend on Homes,,0.0
307,,,,0.0
308,11/15/2016,Euro Zone Bond Sell-Off Pauses as Economy Improves,,0.0
309,,,,0.0
310,11/15/2016,"Home Depot Maintains Full-Year Sales Forecast, Disappointing Investors",,0.0
311,,,,0.0
312,11/15/2016,"Morning Agenda: Government Bonds, Mary Jo White, Seller-Financed Home Contracts",,0.0
313,,,,0.0
314,11/15/2016,"FTSE Up as Energy Stocks Recover, Grocers Soar",,0.0
315,,,,0.0
316,11/15/2016,"Donald Trump, Stephen Bannon, Gwen Ifill: Your Tuesday Briefing",,0.0
317,,,,0.0
318,11/15/2016,"After Frantic Rally, China Commodities Fall Hard as Speculators Panic",,0.0
319,,,,0.0
320,11/15/2016,"European Shares Edge Up as Oil Rallies, Utilities Bounce",,0.0
321,,,,0.0
322,11/15/2016,Cyprus' Biggest Bank to List on London Stock Exchange,,0.0
323,,,,0.0
324,11/15/2016,Tesco Recovery Gains Pace With Fastest Sales Growth in Three Years,,0.0
325,,,,0.0
326,11/15/2016,Mark Zuckerberg Is in Denial,,0.0
327,,,,0.0
328,11/15/2016,Bank of Cyprus Seeks More Long-Term Investors in London Listing,,0.0
329,,,,0.0
330,11/15/2016,Oil Prices Fall After Industry Report Shows Stock Build,,0.0
331,,,,0.0
332,11/15/2016,Land Securities Sees Resilient Performance Despite Brexit Pressure,,0.0
333,,,,0.0
334,11/15/2016,"C.E.O.s Ponder a New Game, With Trumps Rules",,0.0
335,,,,0.0
336,11/15/2016,"Asian Stocks Mostly Higher, Taking Cues From Wall Street",,0.0
337,,,,0.0
338,11/15/2016,Ever Wanted to Back a Start-Up? Indiegogo Opens the Door to Small Investors,"Crowdfunding site Indiegogo says it will accept campaigns from startups seeking equity shareholders, taking advantage of new securities rule that allows ordinary investors to risk up to few thousands dollars annually backing private companies; announcement permits crowdfunding backers to reap rewards of venture capitalists.",0.0
339,,,,0.0
340,11/15/2016,Credit Suisse Hires Banker in China Onshore Private Banking Push-Memo,,0.0
341,,,,0.0
342,11/15/2016,World's Youngest Stock Market Struggles in Myanmar,,0.0
343,,,,0.0
344,11/15/2016,Credit Suisse Hires Banker in China Onshore Private Banking Push-Memo,,0.0
345,,,,0.0
346,11/15/2016,Monte Dei Paschi Debt Swap Targets Bonds for Up to 5.3 Billion Euros,,0.0
347,,,,0.0
348,11/15/2016,Nasdaq Names a New Chief Executive: Adena Friedman,,0.0
349,,,,0.0
350,11/15/2016,"Ahead of Trump Presidency, Global Investors Sell Bonds and Grab Stocks",Investors worldwide begin selling off bonds and buying up stocks in anticipation that free-spending Trump administration will ignite American economy.,0.0
351,,,,0.0
352,11/14/2016,SEC Chair White to Time Her Exit From Agency With Obama's,,0.0
353,,,,0.0
354,11/14/2016,A Merger Lawyer Sounds Off on the Short-Term Quest for Profits,,0.0
355,,,,0.0
356,11/14/2016,Venture Capital Firm Navigates Uncharted Course to Success,,0.0
357,,,,0.0
358,11/14/2016,Warren Buffett's Berkshire Makes Surprise U.S. Airline Bet,,0.0
359,,,,0.0
360,11/14/2016,The Next Generation of Hedge Fund Stars: Data-Crunching Computers,,0.0
361,,,,0.0
362,11/14/2016,"Health Care Issues Loom in Politics, Payments and Quality",,0.0
363,,,,0.0
364,11/14/2016,Reynolds American Rejects BAT's $47 Billion Takeover Offer-Source,,0.0
365,,,,0.0
366,11/14/2016,"Ex-InterMune Executive, Friend Found Liable for Insider Trading",,0.0
367,,,,0.0
368,11/14/2016,"IEX Hires Ex-Banking Executive to Take on NYSE, Nasdaq for Listings",,0.0
369,,,,0.0
370,11/14/2016,Construction Company Interserve Says CEO to Step Down,,0.0
371,,,,0.0
372,11/14/2016,"Morning Agenda: Trump and the Battlegrounds Ahead, Samsung and the Auto Industry",,0.0
373,,,,0.0
374,11/14/2016,"Thai Airways Misses Cost-Cutting Target, but Expects to Swing to Annual Profit-CFO",,0.0
375,,,,0.0
376,11/14/2016,"Johnston Press, Iliffe Media in Talks to Sell Some Titles",,0.0
377,,,,0.0
378,11/14/2016,William Hill Sees FY Operating Profit at Top End of Forecast,,0.0
379,,,,0.0
380,11/14/2016,Japan Self-Driving Venture ZMP Gets Approval to List Next Month,,0.0
381,,,,0.0
382,11/14/2016,'Trump Thump' Whacks Bond Market for $1 Trillion Loss,,0.0
383,,,,0.0
384,11/14/2016,"As BOJ Wanes, Japan Sees Fiscal Stimulus as Likely Next Step",,0.0
385,,,,0.0
386,11/14/2016,Why Japans Economy Posted Surprisingly Strong Growth,"Japanese economy posts unexpectedly large third-quarter gross domestic product increase of 2.2 percent in annualized terms, growth rate more than double prior quarter and twice as high as average economic forecast; examination of what led to boost discussed. ",0.0
387,,,,0.0
388,11/13/2016,Dollar Climbs Along With U.S. Yields but Asia Shares Divided,,0.0
389,,,,0.0
390,11/13/2016,The Art Markets Reaction to Trump? Sales This Week Offer First Test,,0.0
391,,,,0.0
392,11/13/2016,'Trump Thump' Whacks Bond Market for $1 Trillion Loss,,0.0
393,,,,0.0
394,11/13/2016,Smaller Deals in Focus as Big Private Equity Fades in Africa,,0.0
395,,,,0.0
396,11/13/2016,"Dubai Businessman Alabbar, Saudi SWF Launch $1 Billion e-Commerce Platform",,0.0
397,,,,0.0
398,11/12/2016,The Wealthy Ask Themselves: What Do We Have to Lose?,,0.0
399,,,,0.0
400,11/12/2016,The Trump Stock Rally: Calamity Averted With a Little Charm,"Jeff Sommer Strategies column suggests platitudes in Donald J Trump's victory speech helped win over investors reeling from defeat of Wall Street favorite Hillary Clinton in 2016 presidential election; notes that although market tanked at declaration of Trump victory, president-elect's vow to rebuild infrastructure sent stock market soaring.",0.0
401,,,,0.0
402,11/12/2016,"With Trump in Power, the Fed Gets Ready for a Reckoning","Analysts ponder what changes Pres-elect Donald J Trump plans for Federal Reserve; say new administration could support Republicans' insistence on overhauling Fed and minimizing its influence on national economy, including replacing chairwoman Janet Yellen when her term is up in February 2018; others say Trump will leave central bank alone in order to concentrate on reigniting economy through tax and trade reforms and other growth-building strategies.",0.0
403,,,,0.0
404,11/12/2016,"As Markets Waver, the Rich Park Money in Luxury Homes",,0.0
405,,,,0.0
406,11/12/2016,How T. Boone Pickens Sits Tight in the Riskiest of Businesses,,0.0
407,,,,0.0
408,11/12/2016,"Trump Advisers Back Deregulation, Privatized Social Security",,0.0
409,,,,0.0
410,11/12/2016,The Surprising Message From Bonds About a Trump Presidency,,0.0
411,,,,0.0
412,11/12/2016,What the Markets Are Really Telling Us About a Trump Presidency,The Upshot; rise of stocks and bond market sell-off following Donald J Trump's presidential election victory indicates investors are optimistic new administration will follow through more completely on plans that will benefit corporate profits.,0.0
413,,,,0.0
414,11/11/2016,"Berkshire Sets Record as Trump Boosts Prospects, Buffett's Wealth",,0.0
415,,,,0.0
416,11/11/2016,Murphy Oil Sinks Along With Crude; Nvidia Soars,,0.0
417,,,,0.0
418,11/11/2016,Venezuela Floods Shops With Unaffordable Goods Ahead of Christmas,,0.0
419,,,,0.0
420,11/11/2016,Missives From the Past: 64 Barolos Tell Their Story,Eric Asimov The Pour column evaluates 14 Barolo wines of 1964 vintage from Langhe region of northwestern Italy; notes experience deepened his understanding of era.,0.0
421,,,,0.0
422,11/11/2016,Buyout Funds Approach Santander and Intesa Over Allfunds Deal-Sources,,0.0
423,,,,0.0
424,11/11/2016,"After Trump Win, Critic Buffett Sees Strong Stocks, Trade Hurdles",,0.0
425,,,,0.0
426,11/11/2016,Trumps Economic Prescription. First: Do Harm.,"Steven Rattner Op-Ed article argues Pres-elect Donald J Trump's economic proposals, assuming he follows through on them, would benefit wealthy Americans at expense of lower-income citizens.",0.0
427,,,,0.0
428,11/11/2016,"UK Building Materials Firm SIG Warns on Profit, CEO Goes",,0.0
429,,,,0.0
430,11/11/2016,Cosmetics Firm Oriflame Shares Drop on Slowing Sales Growth,,0.0
431,,,,0.0
432,11/11/2016,"Stocks Slip After U.S. Election Rally, Bond Yields Rise Further, Dollar Climbs",,0.0
433,,,,0.0
434,11/11/2016,Trump Presidency Could Prove a Salve for Pharma Merger Deals,,0.0
435,,,,0.0
436,11/11/2016,Pollsters Who Predicted Trump Win Benefit From Industry's Miss,,0.0
437,,,,0.0
438,11/11/2016,Valeant May Seek to Clean Up Its Name by Changing It: Ackman,,0.0
439,,,,0.0
440,11/10/2016,Business Highlights,,0.0
441,,,,0.0
442,11/10/2016,Investors Flee Emerging Markets After Trump Victory,,0.0
443,,,,0.0
444,11/10/2016,UK and China Seek to Bury Power Plant Spat With Deeper Finance Ties,,0.0
445,,,,0.0
446,11/10/2016,"Lower East Side, Effortlessly Cool",,0.0
447,,,,0.0
448,11/10/2016,What Money Experts Are Telling Clients After the Election,,0.0
449,,,,0.0
450,11/10/2016,ECB Looking at All Options for Euro Trading After Brexit-Mersch,,0.0
451,,,,0.0
452,11/10/2016,"Fitbit Rises on Purported Bid, Company Says Received No Offer",,0.0
453,,,,0.0
454,11/10/2016,Trumps Victory Bodes Well for Investors  for Now,,0.0
455,,,,0.0
456,11/10/2016,More Chinese Banks Line Up for London Despite Brexit,,0.0
457,,,,0.0
458,11/10/2016,Business Leaders Examine a Post-Election World,,0.0
459,,,,0.0
460,11/10/2016,Markets Right Now: Dow Closes at Record; Other Indexes Mixed,,0.0
461,,,,0.0
462,11/10/2016,"Trump Bets Blast Dow to New High, Bank Sector Hits 2008 Levels",,0.0
463,,,,0.0
464,11/10/2016,FTSE Drops as Investors Dump Defensives for Banks and Miners After Trump Win,,0.0
465,,,,0.0
466,11/10/2016,Ophir Signs Deal With Schlumberger JV for Equatorial Guinea Project,,0.0
467,,,,0.0
468,11/10/2016,"Future of Big Mergers Under Trump? Like Much Else, Its Unclear",,0.0
469,,,,0.0
470,11/10/2016,"For Hedge Fund Investors, Calm Uncertainty Over Trumps Direction",,0.0
471,,,,0.0
472,11/10/2016,China Investors Seek to Turn Trump Panic Into Profit,,0.0
473,,,,0.0
474,11/10/2016,Siemens to List Health Care Arm as Egypt Helps Boost Profit,,0.0
475,,,,0.0
476,11/10/2016,Rally in Banks and Miners Push European Equities to Two-Week High,,0.0
477,,,,0.0
478,11/10/2016,Perrigo to Review Options for Multiple Sclerosis Drug Royalties,,0.0
479,,,,0.0
480,11/10/2016,Samsung's Biotech Unit Debuts in Seoul. Here's What to Know.,,0.0
481,,,,0.0
